IGR Code,Revenue Point,Rate,Amount,Allow Part Payment
MPC,Miller (Pepper and Corn),Annually,"2,500.00",Yes
NSA,Naming of Street (Application),One off,"20,000.00",No
NSV,Naming of Street (Avenue),One off,"200,000.00",Yes
NSB,Naming of Street (Bus Stop),One off,"250,000.00",Yes
NSC,Naming of Street (Close),One off,"150,000.00",Yes
NSR,Naming of Street (Cresent),One off,"200,000.00",Yes
NSN,Naming of Street (Renewal),Annually,"20,000.00",NO
NRD,Naming of Street (Road),One off,"250,000.00",Yes
NSS,Naming of Street (Street),One off,"150,000.00",Yes
OEM,Obada idi Emi market,,100,No
OLM,Olomore Market,100 per market,100,No
OTA,One Way Traffic Offenders: Agbara,Weekly,"20,000.00",No
OTO,One Way Traffic Offenders: Ogunbo,Weekly,"20,000.00",No
OTS,One Way Traffic Offenders: Sparing,Weekly,"20,000.00",No
PPS,Private Schools (Primary),Annually (per school),"10,000.00",No
PSH,Private Schools (Secondary) Health Inspection Approval,Annually (per school),"15,000.00",No
PSA,Provision Store: Class 01,Annually (per shop),"5,000.00",No
PSC,Provision Store: Class 02,Annually (per shop),"15,000.00",No
PSE,Provision Store: Class 03,Annually (per shop),"20,000.00",No
SQR,Quarries,nil,0,No
RTP,Radio & TV License,Annually,"1,000.00",No
RTH,Rentage of Hall (Secretariat),One off,"150,000.00",Yes
RLG,Rentage of Local Govenment Property (Ori-Omi),One off,"150,000.00",Yes
RMR,Rice Millers,Annually (per shop),"5,000.00",Yes
SIM,Shops ( Iberekodo Market),Annually (per shop),"12,000.00",No
SEC,Shops (Elega Complex),Annually (per shop),"24,000.00",Yes
SMC,Shops (Lafenwa Market Complex),Annually (per shop),"36,000.00",Yes
SML,Shops (Lafenwa Market Lock up shop),Annually (per shop),"30,000.00",Yes
SOC,Shops (Olomoore Complex),Annually (per shop),"12,000.00",No
SMO,Shops {Lafenwa Market Open Stall),Annually (per shop),"12,000.00",No
TMA,Tailoring Materials: Class 01,Annually,"5,000.00",No
TMC,Tailoring Materials: Class 02,Annually,"15,000.00",No
TME,Tailoring Materials: Class 03,Annually,"20,000.00",No
TPD,Toll points: Alamala,Weekly,"30,000.00",yes
TPG,Toll points: Aro Toll,Weekly,"30,000.00",yes
TPF,Toll points: Cow Market Rounda,Weekly,"30,000.00",yes
TPB,Toll points: Idi-Emi,Weekly,"40,000.00",yes
TPA,Toll points: Imala,Weekly,"40,000.00",yes
TPE,Toll points: Lafenwa (Sheld) Hausa Teritory,Weekly,"25,000.00",yes
TPC,Toll points: Rounda,Weekly,"100,000.00",yes
TPH,Toll points: Sawmill Lafenwa,Weekly,"10,000.00",No
VCP,Vulcanizers' permit,annually,"5,000.00",No
WLP,Welders' permit,annually,"5,000.00",No
